City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Luderitz,NA,2021-03-21 22:21:40,-26.6481,15.1594,68.29,61,0,13.42
135,Luga,RU,2021-03-21 22:21:41,58.7372,29.8453,27.52,91,98,10.78
136,Suntar,RU,2021-03-21 22:21:41,62.1444,117.6319,-29.97,96,9,3.67
137,Knysna,ZA,2021-03-21 22:21:41,-34.0363,23.0471,55.4,94,0,5.75
138,Ibipeba,BR,2021-03-21 22:21:41,-11.6408,-42.0111,73.53,66,75,11.34
139,Nikolskoye,RU,2021-03-21 22:21:42,59.7035,30.7861,32.0,69,75,22.37
140,Severodvinsk,RU,2021-03-21 22:20:27,64.5635,39.8302,23.0,93,90,4.47
141,Zakamensk,RU,2021-03-21 22:21:42,50.3741,103.2863,18.55,74,71,1.95
142,Mar Del Plata,AR,2021-03-21 22:20:21,-38.0023,-57.5575,61.0,67,20,12.66
143,College,US,2021-03-21 22:21:43,64.8569,-147.8028,18.0,35,1,2.84
144,Kroya,ID,2021-03-21 22:19:26,-7.6331,109.2461,76.86,87,48,3.02
145,Altamira,BR,2021-03-21 22:21:41,-3.2033,-52.2064,80.6,83,40,2.3
146,Hofn,IS,2021-03-21 22:21:43,64.2539,-15.2082,42.48,80,91,15.66
147,Tabou,CI,2021-03-21 22:21:43,4.423,-7.3528,79.3,88,75,10.29
148,Bengkulu,ID,2021-03-21 22:21:44,-3.8004,102.2655,75.09,90,100,3.13
149,Port Elizabeth,ZA,2021-03-21 22:21:44,-33.918,25.5701,62.6,82,75,6.91
150,Pocone,BR,2021-03-21 22:21:44,-16.2567,-56.6228,79.95,79,82,3.69
151,Zhigansk,RU,2021-03-21 22:21:44,66.7697,123.3711,-21.53,93,100,17.25
152,Patterson,US,2021-03-21 22:21:45,37.4716,-121.1297,66.99,32,1,16.11
153,Feodosiya,UA,2021-03-21 22:21:45,45.0333,35.3833,38.91,66,28,4.07
154,Grenville,GD,2021-03-21 22:21:45,12.1167,-61.6167,80.6,74,20,23.02
155,Ambilobe,MG,2021-03-21 22:21:45,-13.2,49.05,74.32,94,42,1.74
156,Leningradskiy,RU,2021-03-21 22:21:46,69.3833,178.4167,-9.67,94,100,10.4
157,Bluff,NZ,2021-03-21 22:21:46,-46.6,168.3333,57.0,91,94,4.0
158,Bom Jesus,BR,2021-03-21 22:21:46,-9.0744,-44.3586,78.26,66,32,1.54
159,Atuona,PF,2021-03-21 22:21:46,-9.8,-139.0333,80.02,77,3,12.71
160,Port Macquarie,AU,2021-03-21 22:21:47,-31.4333,152.9167,68.0,99,100,15.79
161,Rawson,AR,2021-03-21 22:21:47,-43.3002,-65.1023,69.31,42,0,24.54
162,Voznesenye,RU,2021-03-21 22:21:47,61.0106,35.4781,28.58,91,89,9.46
163,Noumea,NC,2021-03-21 22:21:47,-22.2763,166.4572,82.0,57,0,4.61
164,Sagaing,MM,2021-03-21 22:21:48,21.8787,95.9797,76.62,29,28,4.16
165,Bud,US,2021-03-21 22:21:48,39.447,-86.1758,64.99,20,1,9.22
166,Airai,TL,2021-03-21 22:21:48,-8.9266,125.4092,60.89,86,92,1.45
167,Avarua,CK,2021-03-21 22:21:49,-21.2078,-159.775,78.8,94,75,3.44
168,Provideniya,RU,2021-03-21 22:21:49,64.3833,-173.3,8.6,72,90,4.47
169,Markivka,UA,2021-03-21 22:21:49,49.5229,39.5705,31.05,74,47,7.27
170,Yuzhno-Kurilsk,RU,2021-03-21 22:21:49,44.0306,145.8556,37.29,98,100,17.67
171,Kodiak,US,2021-03-21 22:21:50,57.79,-152.4072,37.4,75,90,8.05
172,Souillac,MU,2021-03-21 22:21:50,-20.5167,57.5167,78.8,89,75,8.05
173,Berlevag,NO,2021-03-21 22:21:50,70.8578,29.0864,28.4,86,75,20.71
174,Neuquen,AR,2021-03-21 22:21:51,-38.9516,-68.0591,78.8,22,0,10.36
175,Magistralnyy,RU,2021-03-21 22:21:51,56.1725,107.4458,29.68,90,98,4.83
176,Kapaa,US,2021-03-21 22:18:36,22.0752,-159.319,75.2,64,75,20.71
177,Farmington,US,2021-03-21 22:20:45,36.7281,-108.2187,60.8,23,1,5.75
178,Hasaki,JP,2021-03-21 22:21:51,35.7333,140.8333,53.6,87,75,3.44
179,Avera,US,2021-03-21 22:21:52,33.194,-82.5271,62.6,55,90,9.22
180,Puerto Del Rosario,ES,2021-03-21 22:21:52,28.5004,-13.8627,62.6,63,20,21.85
181,Broken Hill,AU,2021-03-21 22:21:52,-31.95,141.4333,64.4,88,90,10.36
182,Khatanga,RU,2021-03-21 22:21:53,71.9667,102.5,-23.71,77,0,8.14
183,Rypefjord,NO,2021-03-21 22:21:53,70.6333,23.6667,24.8,86,75,10.36
184,Karpathos,GR,2021-03-21 22:21:53,35.507,27.2132,62.6,82,75,23.02
185,Dalbandin,PK,2021-03-21 22:21:54,28.8947,64.4101,66.87,44,0,8.93
186,Kankaanpaa,FI,2021-03-21 22:21:54,61.8,22.4167,30.2,55,0,10.36
187,Churapcha,RU,2021-03-21 22:21:54,62.0025,132.4325,-10.95,95,100,11.65
188,Maniitsoq,GL,2021-03-21 22:21:55,65.4167,-52.9,13.14,85,6,16.69
189,Kidal,ML,2021-03-21 22:21:55,18.4411,1.4078,83.1,11,73,14.5
190,Kaa-Khem,RU,2021-03-21 22:21:55,51.6833,94.7333,19.94,79,100,1.79
191,Ostrovnoy,RU,2021-03-21 22:21:56,68.0531,39.5131,24.44,94,100,3.87
192,Santa Rosa,PH,2021-03-21 22:21:56,14.3122,121.1114,80.6,83,40,2.3
193,Paamiut,GL,2021-03-21 22:21:56,61.994,-49.6678,22.33,89,98,20.78
194,Waitara,NZ,2021-03-21 22:21:56,-38.925,174.25,61.0,76,50,10.11
195,Entre Rios,BR,2021-03-21 22:21:57,-11.9419,-38.0844,72.41,93,60,4.23
196,Grindavik,IS,2021-03-21 22:21:57,63.8424,-22.4338,42.8,87,75,29.93
197,Pokhara,NP,2021-03-21 22:21:57,28.2333,83.9833,65.86,23,0,6.91
198,Renqiu,CN,2021-03-21 22:21:58,38.6989,116.0936,41.72,32,0,10.27
199,Arraial Do Cabo,BR,2021-03-21 22:21:58,-22.9661,-42.0278,80.6,78,0,12.66
200,Yulara,AU,2021-03-21 22:21:58,-25.2406,130.9889,64.4,100,90,8.05
201,Talakan,RU,2021-03-21 22:21:58,50.3167,130.3667,15.8,93,0,3.38
